Id,BinCount_EYFP_MEFL,BinCount_mKate_MEFL,BinCount_EBFP2_MEFL,GeoMean_EYFP_MEFL,GeoMean_mKate_MEFL,GeoMean_EBFP2_MEFL,GeoStdDev_EYFP_MEFL,GeoStdDev_mKate_MEFL,GeoStdDev_EBFP2_MEFL,GMM_Component1_Mean_EYFP_MEFL,GMM_Component2_Mean_EYFP_MEFL,GMM_Component1_Mean_mKate_MEFL,GMM_Component2_Mean_mKate_MEFL,GMM_Component1_Mean_EBFP2_MEFL,GMM_Component2_Mean_EBFP2_MEFL,GMM_Component1_Std_EYFP_MEFL,GMM_Component2_Std_EYFP_MEFL,GMM_Component1_Std_mKate_MEFL,GMM_Component2_Std_mKate_MEFL,GMM_Component1_Std_EBFP2_MEFL,GMM_Component2_Std_EBFP2_MEFL,GMM_Component1_Weight_EYFP_MEFL,GMM_Component2_Weight_EYFP_MEFL,GMM_Component1_Weight_mKate_MEFL,GMM_Component2_Weight_mKate_MEFL,GMM_Component1_Weight_EBFP2_MEFL,GMM_Component2_Weight_EBFP2_MEFL,On Fraction,Off Fraction
Dox 0.1,107987,118448,55223,259000,426000,23670,6.598,7.902,1.642,41399.967481973,972747.223776966,47643.0986805416,1199499.30314938,19142.5592502109,19142.5592502109,1.19701612272542,2.04785875896321,1.23012713903892,3.27793245300228,1.1929438428861,1.1929438428861,0.4194,0.5806,0.3215,0.6785,0.5,0.5,1,0
Dox 0.2,87633,95236,45134,259100,423600,23720,6.69,7.925,1.642,41020.4102986607,1000000,46989.4108605215,1202264.43461741,19186.6874067029,19186.6874067029,1.19440056457109,2.04408993600238,1.22104030585913,3.2568668220167,1.19277904298778,1.19277904298778,0.4232,0.5768,0.3222,0.6778,0.5,0.5,1,0
Dox 0.5,84556,92466,43121,267500,441400,23620,6.699,7.925,1.641,40926.0659730011,995405.417351527,47643.0986805416,1216186.00064637,19054.6071796325,19054.6071796325,1.19707124862433,2.06252869784657,1.22984392440517,3.28775918706697,1.19286144009095,1.19286144009095,0.4121,0.5879,0.3132,0.6868,0.5,0.5,1,0
Dox 1.0,74013,81020,37721,269400,451000,23530,6.736,7.995,1.643,41020.4102986607,1016248.69287069,47097.7326396953,1241652.30759241,19010.782799233,19010.782799233,1.19682320206978,2.05541726417666,1.2247571965316,3.28548886770972,1.19212007102676,1.19212007102676,0.4139,0.5861,0.3101,0.6899,0.5,0.5,1,0
Dox 2.0,82796,91261,42260,260700,447100,23660,6.586,7.904,1.645,41304.7501990161,977237.220955811,46989.4108605215,1213388.85046498,19098.5325856624,19098.5325856624,1.19473063524215,2.02768271952128,1.2261115965412,3.26136945940879,1.19363075425347,1.19363075425347,0.4182,0.5818,0.3076,0.6924,0.5,0.5,1,0
Dox 5.0,96876,107540,49918,259000,444800,24070,6.63,8.06,1.683,41020.4102986607,979489.985408698,46773.5141287198,1253141.17494142,19275.2491319094,341979.442513709,1.19638235731913,2.03891912707498,1.22210916210447,3.29685616356891,1.20018998922936,1.20428700479772,0.4195,0.5805,0.3157,0.6843,0.9984,0.001648,1,0
Dox 10.0,91128,100092,47442,265100,441800,24330,6.582,7.918,1.741,41114.9721104522,974989.637717387,46665.9380314288,1202264.43461741,19275.2491319094,255270.130266125,1.19748477379534,2.02348504969196,1.21848447470011,3.28624546658205,1.20323373580493,1.30196707006414,0.4117,0.5883,0.3084,0.6916,0.994,0.006003,1,0
Dox 20.0,94660,104177,51663,267000,457300,27010,6.601,8.086,2.024,41020.4102986607,1000000,46773.5141287198,1258925.41179417,19724.2273611485,116949.939101987,1.19517087136379,1.9733312795365,1.21593399330136,3.35196905022163,1.2140595792361,1.80717412601093,0.4137,0.5863,0.308,0.692,0.9474,0.05262,1,0
Dox 50.0,74289,81589,47329,251300,478700,40120,6.299,8.203,3.09,41020.4102986607,912010.83935591,46451.5275222749,1261827.53459067,19952.6231496888,154525.443953841,1.19550115490789,1.92043671394335,1.22028142349571,3.50267626913813,1.2201690365988,1.99113176123851,0.416,0.584,0.294,0.706,0.7755,0.2245,1,0
Dox 100.0,78707,87489,53901,241200,488600,52000,6.02,8.221,3.726,40644.3329165213,816582.371358592,47315.125896148,1315224.83219224,20276.8271952128,195884.467350599,1.19503328015273,1.90985325856624,1.22687410463834,3.41821991417658,1.22704361526891,2.06633151756448,0.4066,0.5934,0.2983,0.7017,0.6932,0.3068,1,0
Dox 200.0,85871,95522,65893,218600,482700,73320,5.722,8.038,4.568,41495.4042634363,726105.957435154,48194.7797625127,1294195.84144999,20749.1351745491,260615.35499989,1.19679564451441,1.92087896175202,1.23140241220622,3.3052171686998,1.22791979336474,2.17670713082588,0.42,0.58,0.3004,0.6996,0.5939,0.4061,1,0
Dox 500.0,93068,107369,82055,181300,588100,116400,5.155,8.522,5.375,39994.4749761098,534564.359396971,48752.8490103386,1552387.00995808,21086.2814993329,360578.643021643,1.19036459177042,1.9350847929379,1.22961739964655,3.42688870432786,1.23608973534271,2.148325087316,0.4174,0.5826,0.281,0.719,0.4772,0.5228,1,0
Dox 1000.0,94879,112402,93725,159000,693000,170900,4.607,8.377,5.706,40179.081084894,399024.902362142,52722.9861422823,1710015.31509029,22233.0989065141,463446.919736288,1.19231223356614,1.92530704507768,1.25733209032812,3.33810505165989,1.24856167502352,2.05968117659736,0.4015,0.5985,0.2602,0.7398,0.392,0.608,1,0
Dox 2000.0,98511,118848,103759,145900,766300,209800,4.297,8.251,5.686,41879.3565117918,360578.643021643,54200.0890401624,1811340.0926196,23988.3291901949,549540.873857625,1.20243054506155,1.84119590368765,1.26852783125757,3.2351915531421,1.26823577555559,1.89408733441534,0.4209,0.5791,0.2456,0.7544,0.3615,0.6385,1,0
